l_code,l_name,year,day,rm
747,豊岡,2002,331,8
747,豊岡,2003,408,8
747,豊岡,2004,331,8
747,豊岡,2005,409,8
747,豊岡,2006,409,8
747,豊岡,2007,403,8
747,豊岡,2008,-,-
747,豊岡,2009,-,-
747,豊岡,2010,-,-
747,豊岡,2011,-,-
747,豊岡,2012,-,-
747,豊岡,2013,-,-
747,豊岡,2014,-,-
747,豊岡,2015,-,-
750,舞鶴,1996,415,9
750,舞鶴,1997,408,9
750,舞鶴,1998,331,9
750,舞鶴,1999,404,9
750,舞鶴,2000,412,9
750,舞鶴,2001,405,8
750,舞鶴,2002,331,8
750,舞鶴,2003,409,8
750,舞鶴,2004,331,8
750,舞鶴,2005,410,8
750,舞鶴,2006,410,8
750,舞鶴,2007,409,8
750,舞鶴,2008,407,8
750,舞鶴,2009,406,8
750,舞鶴,2010,406,8
750,舞鶴,2011,410,8
750,舞鶴,2012,412,8
750,舞鶴,2013,-,-
750,舞鶴,2014,-,-
750,舞鶴,2015,-,-
755,浜田,1996,407,9
755,浜田,1997,407,9
755,浜田,1998,330,9
755,浜田,1999,403,9
755,浜田,2000,404,9
755,浜田,2001,403,8
755,浜田,2002,326,8
755,浜田,2003,403,8
755,浜田,2004,403,8
755,浜田,2005,407,8
755,浜田,2006,404,8
755,浜田,2007,401,8
755,浜田,2008,-,-
755,浜田,2009,-,-
755,浜田,2010,-,-
755,浜田,2011,-,-
755,浜田,2012,-,-
755,浜田,2013,-,-
755,浜田,2014,-,-
755,浜田,2015,-,-
759,京都,1996,409,8
759,京都,1997,404,8
759,京都,1998,401,8
759,京都,1999,402,8
759,京都,2000,410,8
759,京都,2001,403,8
759,京都,2002,328,8
759,京都,2003,404,8
759,京都,2004,403,8
759,京都,2005,408,8
759,京都,2006,406,8
759,京都,2007,403,8
759,京都,2008,401,8
759,京都,2009,405,8
759,京都,2010,401,8
759,京都,2011,407,8
759,京都,2012,409,9
759,京都,2013,330,9
759,京都,2014,402,9
759,京都,2015,401,9
761,彦根,1996,417,8
761,彦根,1997,406,8
761,彦根,1998,405,8
761,彦根,1999,408,8
761,彦根,2000,414,8
761,彦根,2001,408,8
761,彦根,2002,402,8
761,彦根,2003,406,8
761,彦根,2004,402,8
761,彦根,2005,410,8
761,彦根,2006,412,8
761,彦根,2007,411,8
761,彦根,2008,406,8
761,彦根,2009,408,8
761,彦根,2010,407,8
761,彦根,2011,411,8
761,彦根,2012,412,8
761,彦根,2013,405,8
761,彦根,2014,409,8
761,彦根,2015,404,8
762,下関,1996,407,8
762,下関,1997,401,8
762,下関,1998,405,8
762,下関,1999,406,8
762,下関,2000,405,8
762,下関,2001,404,8
762,下関,2002,328,8
762,下関,2003,401,8
762,下関,2004,402,8
762,下関,2005,408,8
762,下関,2006,407,8
762,下関,2007,402,8
762,下関,2008,404,8
762,下関,2009,401,8
762,下関,2010,401,8
762,下関,2011,407,8
762,下関,2012,406,8
762,下関,2013,328,8
762,下関,2014,330,8
762,下関,2015,401,8
765,広島,1996,408,9
765,広島,1997,401,9
765,広島,1998,329,9
765,広島,1999,404,9
765,広島,2000,404,9
765,広島,2001,401,9
765,広島,2002,327,9
765,広島,2003,401,9
765,広島,2004,331,9
765,広島,2005,409,9
765,広島,2006,406,9
765,広島,2007,402,9
765,広島,2008,402,9
765,広島,2009,405,9
765,広島,2010,402,9
765,広島,2011,410,9
765,広島,2012,409,9
765,広島,2013,329,9
765,広島,2014,330,9
765,広島,2015,330,9
768,岡山,1996,410,9
768,岡山,1997,404,9
768,岡山,1998,401,9
768,岡山,1999,403,9
768,岡山,2000,408,9
768,岡山,2001,406,9
768,岡山,2002,329,9
768,岡山,2003,405,9
768,岡山,2004,402,9
768,岡山,2005,409,9
768,岡山,2006,407,9
768,岡山,2007,404,9
768,岡山,2008,404,9
768,岡山,2009,405,9
768,岡山,2010,403,9
768,岡山,2011,407,9
768,岡山,2012,409,9
768,岡山,2013,331,9
768,岡山,2014,402,9
768,岡山,2015,402,9
770,神戸,1996,408,8
770,神戸,1997,402,8
770,神戸,1998,331,8
770,神戸,1999,402,8
770,神戸,2000,408,9
770,神戸,2001,402,9
770,神戸,2002,330,9
770,神戸,2003,402,9
770,神戸,2004,406,9
770,神戸,2005,409,9
770,神戸,2006,408,9
770,神戸,2007,408,9
770,神戸,2008,403,9
770,神戸,2009,406,9
770,神戸,2010,404,9
770,神戸,2011,410,9
770,神戸,2012,409,9
770,神戸,2013,331,9
770,神戸,2014,401,9
770,神戸,2015,402,9
772,大阪,1996,409,9
772,大阪,1997,404,9
772,大阪,1998,403,9
772,大阪,1999,329,9
772,大阪,2000,408,9
772,大阪,2001,404,9
772,大阪,2002,328,9
772,大阪,2003,402,9
772,大阪,2004,402,9
772,大阪,2005,408,9
772,大阪,2006,404,9
772,大阪,2007,403,9
772,大阪,2008,402,9
772,大阪,2009,406,9
772,大阪,2010,404,9
772,大阪,2011,407,9
772,大阪,2012,409,9
772,大阪,2013,329,9
772,大阪,2014,402,9
772,大阪,2015,401,9
776,洲本,1996,410,8
776,洲本,1997,406,8
776,洲本,1998,330,8
776,洲本,1999,406,8
776,洲本,2000,409,8
776,洲本,2001,403,8
776,洲本,2002,328,8
776,洲本,2003,-,-
776,洲本,2004,-,-
776,洲本,2005,-,-
776,洲本,2006,-,-
776,洲本,2007,-,-
776,洲本,2008,-,-
776,洲本,2009,-,-
776,洲本,2010,-,-
776,洲本,2011,-,-
776,洲本,2012,-,-
776,洲本,2013,-,-
776,洲本,2014,-,-
776,洲本,2015,-,-
777,和歌山,1996,408,9
777,和歌山,1997,401,9
777,和歌山,1998,404,9
777,和歌山,1999,402,9
777,和歌山,2000,406,9
777,和歌山,2001,402,9
777,和歌山,2002,326,9
777,和歌山,2003,403,9
777,和歌山,2004,401,9
777,和歌山,2005,407,9
777,和歌山,2006,404,9
777,和歌山,2007,401,9
777,和歌山,2008,402,9
777,和歌山,2009,403,9
777,和歌山,2010,331,9
777,和歌山,2011,407,9
777,和歌山,2012,404,9
777,和歌山,2013,326,9
777,和歌山,2014,331,9
777,和歌山,2015,330,9
778,潮岬,1996,401,8
778,潮岬,1997,407,8
778,潮岬,1998,403,8
778,潮岬,1999,407,8
778,潮岬,2000,409,8
778,潮岬,2001,403,8
778,潮岬,2002,330,8
778,潮岬,2003,331,8
778,潮岬,2004,403,8
778,潮岬,2005,408,8
778,潮岬,2006,329,8
778,潮岬,2007,406,8
778,潮岬,2008,402,8
778,潮岬,2009,330,8
778,潮岬,2010,-,-
778,潮岬,2011,-,-
778,潮岬,2012,-,-
778,潮岬,2013,-,-
778,潮岬,2014,-,-
778,潮岬,2015,-,-
780,奈良,1996,408,8
780,奈良,1997,403,8
780,奈良,1998,331,8
780,奈良,1999,402,8
780,奈良,2000,410,8
780,奈良,2001,404,8
780,奈良,2002,326,8
780,奈良,2003,404,8
780,奈良,2004,330,8
